Wall time,Step,Value
1681937617,65090,31.76814651
1681937622,65100,31.80206108
1681937669,65200,31.99703789
1681937682,65210,32.38177109
1681937687,65220,32.26807022
1681937725,65300,32.01568222
1681937819,65500,31.52963638
1681937933,65740,31.61971664
1681937961,65800,31.71355247
1681937966,65810,31.94069099
1681937980,65840,32.46994781
1681938028,65940,31.4447155
1681938070,66030,31.91152191
1681938085,66060,32.28822327
1681938132,66160,31.71604919
1681938156,66210,31.72887421
1681938326,66570,32.06237793
1681938369,66660,31.65236473
1681938378,66680,32.35624313
1681938397,66720,32.14217377
1681938425,66780,32.16319656
1681938439,66810,31.6413784
1681938473,66880,31.98092461
1681938510,66960,31.65265465
1681938525,66990,31.97597122
1681938571,67070,32.49934769
1681938590,67110,31.38240242
1681938609,67150,31.86793327
1681938717,67380,32.18302917
1681938736,67420,32.17124939
1681938770,67490,32.36711884
1681938788,67530,32.59849167
1681938841,67640,32.29209137
1681938897,67760,32.14173889
1681938973,67920,32.25570679
1681939092,68170,31.93385315
1681939163,68320,31.52607918
1681939229,68460,32.32020569
1681939267,68540,31.82504654
1681939305,68620,32.19116211
1681939333,68680,32.21228027
1681939338,68690,32.74750137
1681939418,68860,31.91036987
1681939469,68950,32.5344696
1681939497,69010,31.95751381
1681939535,69090,31.81300163
1681939549,69120,32.25973892
1681939653,69340,31.66265678
1681939734,69510,31.9034214
1681939791,69630,32.40795517
1681939805,69660,31.99912071
1681939833,69720,31.78292847
1681939918,69900,32.2678833
1681939928,69920,32.07509613
1681940013,70100,32.0741539
1681940032,70140,31.760849
1681940046,70170,31.7563324
1681940131,70350,32.53874588
1681940150,70390,31.48036385
1681940183,70460,31.7355938
1681940245,70590,31.89809608
1681940273,70650,31.79262924
1681940340,70790,31.62421036
1681940405,70910,32.04528046
1681940438,70980,32.42974091
1681940476,71060,31.52763748
1681940514,71140,32.57863998
1681940518,71150,31.7069912
1681940622,71370,31.80200005
1681940641,71410,31.51807022
1681940708,71550,31.88658524
1681940764,71670,32.53559875
1681940769,71680,32.51058578
1681940802,71750,31.72841072
1681940868,71890,31.43990898
1681940897,71950,32.50571442
1681940930,72020,32.34540939
1681940939,72040,32.22033691
1681940982,72130,31.92785263
1681940992,72150,31.82053566
1681940996,72160,32.31031799
1681941086,72350,31.65943909
1681941100,72380,31.82201195
1681941143,72470,32.62386322
1681941204,72600,32.32619858
1681941279,72740,31.50875854
1681941326,72840,31.92215919
1681941402,73000,32.20542526
1681941454,73110,32.81143951
1681941539,73290,32.21624756
1681941586,73390,32.48445892
1681941591,73400,31.81181145
1681941620,73460,31.81606674
1681941653,73530,31.69649887
1681941672,73570,32.22585678
1681941676,73580,31.88088226
1681941681,73590,32.1156311
1681941785,73810,32.27131653
1681941790,73820,31.64214706
1681941809,73860,32.29661942
1681941818,73880,32.03943253
1681941861,73970,32.03799438
1681941880,74010,32.20819473
1681942017,74300,31.80973053
1681942022,74310,32.48959732
1681942064,74400,31.94412994
1681942079,74430,32.12788391
1681942112,74500,32.16212845
1681942167,74600,31.36159897
1681942172,74610,31.70197105
1681942177,74620,31.25520897
1681942181,74630,31.45059586
1681942205,74680,31.88286591
1681942233,74740,32.21361542
1681942252,74780,32.12660217
1681942262,74800,32.06175613
1681942337,74960,31.98011208
1681942366,75020,31.99617767
1681942371,75030,32.13676453
1681942409,75110,32.32149124
1681942498,75300,31.99229622
1681942579,75470,32.13512802
1681942702,75730,32.10416794
1681942811,75960,32.23736954
1681942844,76030,31.24409294
1681942872,76090,31.93540382
1681942886,76120,31.6634407
1681943041,76430,32.20941925
1681943046,76440,32.45406342
1681943122,76600,32.70264435
1681943127,76610,32.05056381
1681943174,76710,32.12126923
1681943188,76740,31.29302979
1681943198,76760,31.855896
1681943250,76870,32.48122406
1681943278,76930,32.1886673
1681943292,76960,31.97582626
1681943311,77000,31.93052101
1681943397,77180,31.47692871
1681943401,77190,32.65371323
1681943420,77230,32.47023773
1681943434,77260,32.25605774
1681943444,77280,32.72523499
